source,sport,league,game_date,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds,outcome_available,game_odds_available,prop_odds_available,closing_available,canonical_game_key
football_data,soccer,LA_LIGA,1993-09-05,Ath Bilbao,Albacete,4.0,1.0,,,,True,False,False,True,soccer|LALIGA|1993-09-05|ATHBILBAO|ALBACETE
football_data,soccer,LA_LIGA,1993-09-05,Ath Madrid,Logrones,1.0,0.0,,,,True,False,False,True,soccer|LALIGA|1993-09-05|ATHMADRID|LOGRONES
football_data,soccer,LA_LIGA,1993-09-05,Barcelona,Sociedad,3.0,0.0,,,,True,False,False,True,soccer|LALIGA|1993-09-05|BARCELONA|SOCIEDAD
football_data,soccer,LA_LIGA,1993-09-05,La Coruna,Celta,0.0,0.0,,,,True,False,False,True,soccer|LALIGA|1993-09-05|LACORUNA|CELTA
football_data,soccer,LA_LIGA,1993-09-05,Osasuna,Real Madrid,1.0,4.0,,,,True,False,False,True,soccer|LALIGA|1993-09-05|OSASUNA|REALMADRID
football_data,soccer,LA_LIGA,1993-09-05,Oviedo,Valencia,0.0,3.0,,,,True,False,False,True,soccer|LALIGA|1993-09-05|OVIEDO|VALENCIA
football_data,soccer,LA_LIGA,1993-09-05,Santander,Vallecano,1.0,0.0,,,,True,False,False,True,soccer|LALIGA|1993-09-05|SANTANDER|VALLECANO
football_data,soccer,LA_LIGA,1993-09-05,Tenerife,Lerida,1.0,0.0,,,,True,False,False,True,soccer|LALIGA|1993-09-05|TENERIFE|LERIDA
football_data,soccer,LA_LIGA,1993-09-05,Valladolid,Sp Gijon,0.0,1.0,,,,True,False,False,True,soccer|LALIGA|1993-09-05|VALLADOLID|SPGIJON
football_data,soccer,LA_LIGA,1993-09-05,Zaragoza,Sevilla,1.0,2.0,,,,True,False,False,True,soccer|LALIGA|1993-09-05|ZARAGOZA|SEVILLA
football_data,soccer,LA_LIGA,1993-09-12,Albacete,Barcelona,0.0,0.0,,,,True,False,False,True,soccer|LALIGA|1993-09-12|ALBACETE|BARCELONA
