accuracy,brier_score,log_loss,roc_auc,calibration_error,model_name,feature_count,model_kind,avg_predicted_probability,min_predicted_probability,max_predicted_probability,"bucket_(0.2, 0.3]","bucket_(0.3, 0.4]","bucket_(0.4, 0.5]","bucket_(0.5, 0.6]","bucket_(0.6, 0.7]","bucket_(0.7, 0.8]","bucket_(0.8, 0.9]","bucket_(0.1, 0.2]","bucket_(0.9, 1.0]",home_team_baseline_log_loss,elo_baseline_log_loss,team_only_model_log_loss,sportsbook_benchmark_log_loss,beats_home_team_baseline,beats_elo_baseline,beats_team_only_model,beats_sportsbook_benchmark,row_type,probability_bucket,games,realized_home_win_rate
0.6227642276422765,0.230799353553185,0.653937207578867,0.6539518103749177,0.024503136466632044,team_features_plus_selected_player_features_random_forest,24.0,random_forest,0.5684055754910222,0.2739165381633383,0.8131939300066049,12.0,153.0,250.0,264.0,304.0,228.0,19.0,,,0.7119484915939236,0.6539658748317975,0.6709685697632788,0.6047117495950075,True,True,True,False,,,,
0.6284552845528455,0.23009312434380338,0.6539658748317975,0.6611538758729474,0.035952109411895444,elo_only,3.0,logistic_l2,0.5668984570049007,0.15583974428132338,0.9251292717955323,82.0,141.0,218.0,224.0,240.0,214.0,96.0,9.0,6.0,0.7119484915939236,0.6539658748317975,0.6709685697632788,0.6047117495950075,True,False,True,False,,,,
0.6235772357723577,0.23092649901911308,0.6542862958605276,0.6539931096776257,0.02637779294984295,team_features_plus_selected_player_features_gradient_boosting,24.0,gradient_boosting,0.5692743449182762,0.25125393147908726,0.8597218839925478,12.0,174.0,250.0,234.0,306.0,200.0,54.0,,,0.7119484915939236,0.6539658748317975,0.6709685697632788,0.6047117495950075,True,False,True,False,,,,
0.6252032520325204,0.2311732410093428,0.6550850092187644,0.6539944419131969,0.040463319370663206,team_features_plus_selected_player_features_l1,24.0,logistic_l1,0.52376159277854,0.11845023136893879,0.8755728282187354,96.0,183.0,254.0,261.0,235.0,144.0,42.0,15.0,,0.7119484915939236,0.6539658748317975,0.6709685697632788,0.6047117495950075,True,False,True,False,,,,
0.6195121951219512,0.23199778895405063,0.6569995915691096,0.6509995763490883,0.03940339546272875,team_features_plus_selected_player_features_elasticnet,24.0,logistic_elasticnet,0.525256845146094,0.12943176329333972,0.8810515765466295,95.0,177.0,246.0,278.0,242.0,139.0,40.0,13.0,,0.7119484915939236,0.6539658748317975,0.6709685697632788,0.6047117495950075,True,False,True,False,,,,
0.6284552845528455,0.23228694299180389,0.6580435795727736,0.6522518777860377,0.03984929990719972,team_features_plus_selected_player_features_xgboost,24.0,xgboost,0.5616621724110309,0.2083989977836609,0.9052882194519043,73.0,160.0,227.0,240.0,240.0,195.0,94.0,,1.0,0.7119484915939236,0.6539658748317975,0.6709685697632788,0.6047117495950075,True,False,True,False,,,,
0.6016260162601627,0.23690472936311732,0.6682973349850163,0.6371176816969484,0.05129341123684903,team_features_plus_selected_player_features_l2,24.0,logistic_l2,0.5249216171607303,0.11415472841224263,0.915574340762383,115.0,182.0,231.0,233.0,232.0,160.0,49.0,23.0,5.0,0.7119484915939236,0.6539658748317975,0.6709685697632788,0.6047117495950075,True,False,True,False,,,,
0.6065040650406504,0.23830274128698564,0.6709685697632788,0.6323536072942563,0.050482527250349095,team_only_fair_l2,12.0,logistic_l2,0.5164687289983582,0.1115327027089452,0.902035124615645,112.0,191.0,255.0,258.0,220.0,140.0,39.0,13.0,2.0,0.7119484915939236,0.6539658748317975,0.6709685697632788,0.6047117495950075,True,False,False,False,,,,
0.5951219512195122,0.23866397550039117,0.6720786150298532,0.6316075553743715,0.059557798574889985,team_features_plus_player_features_l2,78.0,logistic_l2,0.5250766263991598,0.1257678207883985,0.9164723208892943,122.0,174.0,225.0,228.0,237.0,157.0,54.0,28.0,5.0,0.7119484915939236,0.6539658748317975,0.6709685697632788,0.6047117495950075,True,False,False,False,,,,
0.6056910569105691,0.23898185884400333,0.6735171986679128,0.6311625886935832,0.0472487371838981,rolling_team_stats_only,25.0,logistic_l2,0.5787874549144818,0.14979046153787776,0.9349880846542229,51.0,121.0,226.0,248.0,280.0,200.0,96.0,2.0,6.0,0.7119484915939236,0.6539658748317975,0.6709685697632788,0.6047117495950075,True,False,False,False,,,,
