timestamp,game_date,home_team,away_team,contract_name,market_ticker,market_title,champion_model,yes_team,no_team,kalshi_yes_price,kalshi_implied_probability,champion_fair_probability,fair_edge,tradable_edge,selected_team,selected_side_yes_or_no,selected_team_win_probability,selected_contract_price,selected_contract_implied_probability,edge_used_for_trade,confidence_label,suggested_side,paper_trade_flag,threshold_used,price_timestamp,game_start_time,minutes_before_tipoff,price_is_pregame,mapping_confidence,result_known,actual_winner,profit_loss_if_yes,profit_loss_if_no,profit_loss_per_contract,profit_loss_per_dollar_staked,selected_profit_loss,selected_win,trade_rank_by_time,paper_split
2026-05-18T00:26:49.970591+00:00,2025-10-21,OKC,HOU,KXNBAGAME-25OCT21HOUOKC-OKC,KXNBAGAME-25OCT21HOUOKC-OKC,Houston vs Oklahoma City Winner?,team_plus_selected_player_random_forest,OKC,HOU,70.0,0.7,0.6368903588148543,-0.06310964118514562,0.05310964118514566,HOU,NO,0.36310964118514566,31.0,0.31,0.05310964118514566,low,NO,True,0.03,2025-10-21T22:30:00+00:00,2025-10-21T23:30:00+00:00,60.0,True,high,True,OKC,0.42857142857142866,-1.0,-0.31,-1.0,-1.0,False,1,discovery
2026-05-18T00:26:49.970591+00:00,2025-10-21,OKC,HOU,KXNBAGAME-25OCT21HOUOKC-OKC,KXNBAGAME-25OCT21HOUOKC-OKC,Houston vs Oklahoma City Winner?,team_plus_selected_player_random_forest,OKC,HOU,70.0,0.7,0.6368903588148543,-0.06310964118514562,0.05310964118514566,HOU,NO,0.36310964118514566,31.0,0.31,0.05310964118514566,low,NO,True,0.05,2025-10-21T22:30:00+00:00,2025-10-21T23:30:00+00:00,60.0,True,high,True,OKC,0.42857142857142866,-1.0,-0.31,-1.0,-1.0,False,2,discovery
2026-05-18T00:26:49.970591+00:00,2025-10-21,LAL,GSW,KXNBAGAME-25OCT21GSWLAL-LAL,KXNBAGAME-25OCT21GSWLAL-LAL,Golden State vs Los Angeles L Winner?,team_plus_selected_player_random_forest,LAL,GSW,44.0,0.44,0.5387205630610464,0.09872056306104643,0.09872056306104643,LAL,YES,0.5387205630610464,44.0,0.44,0.09872056306104643,medium,YES,True,0.03,2025-10-22T01:00:00+00:00,2025-10-22T02:00:00+00:00,60.0,True,high,True,GSW,-1.0,0.7543859649122808,-0.44,-1.0,-1.0,False,3,discovery
2026-05-18T00:26:49.970591+00:00,2025-10-21,LAL,GSW,KXNBAGAME-25OCT21GSWLAL-LAL,KXNBAGAME-25OCT21GSWLAL-LAL,Golden State vs Los Angeles L Winner?,team_plus_selected_player_random_forest,LAL,GSW,44.0,0.44,0.5387205630610464,0.09872056306104643,0.09872056306104643,LAL,YES,0.5387205630610464,44.0,0.44,0.09872056306104643,medium,YES,True,0.05,2025-10-22T01:00:00+00:00,2025-10-22T02:00:00+00:00,60.0,True,high,True,GSW,-1.0,0.7543859649122808,-0.44,-1.0,-1.0,False,4,discovery
2026-05-18T00:26:49.970591+00:00,2025-10-21,LAL,GSW,KXNBAGAME-25OCT21GSWLAL-LAL,KXNBAGAME-25OCT21GSWLAL-LAL,Golden State vs Los Angeles L Winner?,team_plus_selected_player_random_forest,LAL,GSW,44.0,0.44,0.5387205630610464,0.09872056306104643,0.09872056306104643,LAL,YES,0.5387205630610464,44.0,0.44,0.09872056306104643,medium,YES,True,0.07,2025-10-22T01:00:00+00:00,2025-10-22T02:00:00+00:00,60.0,True,high,True,GSW,-1.0,0.7543859649122808,-0.44,-1.0,-1.0,False,5,discovery
2026-05-18T00:26:49.970591+00:00,2025-10-22,CHA,BKN,KXNBAGAME-25OCT22BKNCHA-CHA,KXNBAGAME-25OCT22BKNCHA-CHA,Brooklyn vs Charlotte Winner?,team_plus_selected_player_random_forest,CHA,BKN,65.0,0.65,0.5108441426555542,-0.1391558573444458,0.1291558573444458,BKN,NO,0.4891558573444458,36.0,0.36,0.1291558573444458,high,NO,True,0.03,2025-10-22T22:00:00+00:00,2025-10-22T23:00:00+00:00,60.0,True,high,True,CHA,0.5384615384615384,-1.0,-0.36,-1.0,-1.0,False,6,discovery
2026-05-18T00:26:49.970591+00:00,2025-10-22,CHA,BKN,KXNBAGAME-25OCT22BKNCHA-CHA,KXNBAGAME-25OCT22BKNCHA-CHA,Brooklyn vs Charlotte Winner?,team_plus_selected_player_random_forest,CHA,BKN,65.0,0.65,0.5108441426555542,-0.1391558573444458,0.1291558573444458,BKN,NO,0.4891558573444458,36.0,0.36,0.1291558573444458,high,NO,True,0.05,2025-10-22T22:00:00+00:00,2025-10-22T23:00:00+00:00,60.0,True,high,True,CHA,0.5384615384615384,-1.0,-0.36,-1.0,-1.0,False,7,discovery
2026-05-18T00:26:49.970591+00:00,2025-10-22,CHA,BKN,KXNBAGAME-25OCT22BKNCHA-CHA,KXNBAGAME-25OCT22BKNCHA-CHA,Brooklyn vs Charlotte Winner?,team_plus_selected_player_random_forest,CHA,BKN,65.0,0.65,0.5108441426555542,-0.1391558573444458,0.1291558573444458,BKN,NO,0.4891558573444458,36.0,0.36,0.1291558573444458,high,NO,True,0.07,2025-10-22T22:00:00+00:00,2025-10-22T23:00:00+00:00,60.0,True,high,True,CHA,0.5384615384615384,-1.0,-0.36,-1.0,-1.0,False,8,discovery
2026-05-18T00:26:49.970591+00:00,2025-10-22,CHA,BKN,KXNBAGAME-25OCT22BKNCHA-CHA,KXNBAGAME-25OCT22BKNCHA-CHA,Brooklyn vs Charlotte Winner?,team_plus_selected_player_random_forest,CHA,BKN,65.0,0.65,0.5108441426555542,-0.1391558573444458,0.1291558573444458,BKN,NO,0.4891558573444458,36.0,0.36,0.1291558573444458,high,NO,True,0.1,2025-10-22T22:00:00+00:00,2025-10-22T23:00:00+00:00,60.0,True,high,True,CHA,0.5384615384615384,-1.0,-0.36,-1.0,-1.0,False,9,discovery
2026-05-18T00:26:49.970591+00:00,2025-10-22,NYK,CLE,KXNBAGAME-25OCT22CLENYK-NYK,KXNBAGAME-25OCT22CLENYK-NYK,Cleveland vs New York Winner?,team_plus_selected_player_random_forest,NYK,CLE,47.0,0.47,0.594188333449004,0.12418833344900404,0.12418833344900404,NYK,YES,0.594188333449004,47.0,0.47,0.12418833344900404,high,YES,True,0.03,2025-10-22T22:00:00+00:00,2025-10-22T23:00:00+00:00,60.0,True,high,True,NYK,1.1276595744680853,-1.0,0.53,1.1276595744680853,1.1276595744680853,True,10,discovery
2026-05-18T00:26:49.970591+00:00,2025-10-22,NYK,CLE,KXNBAGAME-25OCT22CLENYK-NYK,KXNBAGAME-25OCT22CLENYK-NYK,Cleveland vs New York Winner?,team_plus_selected_player_random_forest,NYK,CLE,47.0,0.47,0.594188333449004,0.12418833344900404,0.12418833344900404,NYK,YES,0.594188333449004,47.0,0.47,0.12418833344900404,high,YES,True,0.05,2025-10-22T22:00:00+00:00,2025-10-22T23:00:00+00:00,60.0,True,high,True,NYK,1.1276595744680853,-1.0,0.53,1.1276595744680853,1.1276595744680853,True,11,discovery
