model_name,folds,avg_training_games,avg_validation_games,avg_log_loss,std_log_loss,avg_brier_score,avg_auc,avg_accuracy,avg_calibration_error,avg_predicted_probability,min_predicted_probability,max_predicted_probability,avg_feature_count,is_champion,beats_elo,beats_team_only,beats_sportsbook_benchmark,champion_model,champion_calibration_method
sportsbook_benchmark,4,2871.75,1008.25,0.61792200922136,0.014845187815069915,0.21443897663923683,0.7082015552875645,0.6594984625775185,0.039284104256032765,0.5597038485247688,0.07975460122699386,0.9400705052878965,0.0,False,True,True,False,team_plus_selected_player_random_forest,uncalibrated
team_plus_selected_player_random_forest,4,2871.75,1008.25,0.6538449605332759,0.004882462312013963,0.231020129535676,0.6474220500964795,0.612114950470329,0.03814899403194424,0.5728638025914347,0.2612741760336772,0.8350180612807551,24.0,True,True,True,False,team_plus_selected_player_random_forest,uncalibrated
team_plus_selected_player_gradient_boosting,4,2871.75,1008.25,0.6551348642664556,0.007835891237562764,0.23154736030946793,0.6449796500513941,0.6153966636562449,0.03559680036331252,0.5715964702011389,0.20170445520769079,0.8597218839925478,24.0,False,True,True,False,team_plus_selected_player_random_forest,uncalibrated
team_plus_selected_player_xgboost,4,2871.75,1008.25,0.6600175253345272,0.005818665438059505,0.23348372953018406,0.6426582576723668,0.6101227248677028,0.05256808673499027,0.5655202728860825,0.16190288960933685,0.9129188656806946,24.0,False,True,True,False,team_plus_selected_player_random_forest,uncalibrated
elo_only,4,2871.75,1008.25,0.6639795578287105,0.018791211391818035,0.23473359803138166,0.6451262914730478,0.6147448014649322,0.062043088748197577,0.5724747129576168,0.09848153043512294,0.9458690669044193,3.0,False,False,True,False,team_plus_selected_player_random_forest,uncalibrated
home_team_baseline,4,2871.75,1008.25,0.687232081424714,0.0073075143575509986,0.2470363804576989,0.5,0.5599470542372011,0.03342018575978856,0.5722152805610725,0.558599695585997,0.5926829268292683,0.0,False,False,True,False,team_plus_selected_player_random_forest,uncalibrated
team_plus_selected_player_logistic,4,2871.75,1008.25,0.6872822336572776,0.02545746144524116,0.23961951569441933,0.6323104395698732,0.6017145059814252,0.06868558827432306,0.5377994757452068,1e-06,0.999999,24.0,False,False,True,False,team_plus_selected_player_random_forest,uncalibrated
team_only_logistic,4,2871.75,1008.25,0.6873280602483011,0.026643196130400226,0.23988781927666125,0.6280880096295247,0.5963801982383112,0.06989777499306858,0.5367206674019955,1e-06,0.999999,12.0,False,False,False,False,team_plus_selected_player_random_forest,uncalibrated
