diagnostic_type,item,status,value,detail
feature_quality,home_player_top8_value_last10,pass,16.14854840669314,missing_rate=0.0139 unique_values=3758 near_constant=False
feature_quality,missing_key_players_count_diff,pass,1.228886501391291,missing_rate=0.0152 unique_values=13 near_constant=False
feature_quality,player_active_count_last5_diff,pass,1.656074896613814,missing_rate=0.0152 unique_values=16 near_constant=False
feature_quality,player_key_absence_minutes_last_game_diff,pass,27.240799736652036,missing_rate=0.0152 unique_values=1814 near_constant=False
feature_quality,player_prior_games_last10_diff,pass,0.30200269006127073,missing_rate=0.0000 unique_values=6 near_constant=False
feature_quality,player_rotation_continuity_last5_diff,pass,0.08584643337765789,missing_rate=0.0152 unique_values=71 near_constant=False
feature_quality,player_top3_minutes_last10_diff,pass,10.082222445545016,missing_rate=0.0152 unique_values=1621 near_constant=False
feature_quality,player_top5_minutes_last10_diff,pass,14.654862719494202,missing_rate=0.0152 unique_values=1981 near_constant=False
feature_quality,player_top8_ast_last10_diff,pass,3.882131676024041,missing_rate=0.0152 unique_values=1012 near_constant=False
feature_quality,player_top8_games_played_share_last10_diff,pass,0.06315587502279461,missing_rate=0.0152 unique_values=283 near_constant=False
feature_quality,player_top8_minutes_gap_last_game_diff,pass,30.41590407777868,missing_rate=0.0152 unique_values=2824 near_constant=False
feature_quality,player_top8_minutes_last10_diff,pass,15.974893757275515,missing_rate=0.0152 unique_values=2096 near_constant=False
feature_quality,player_top8_plus_minus_last10_diff,pass,41.85191431665981,missing_rate=0.0152 unique_values=2921 near_constant=False
feature_quality,player_top8_points_last10_diff,pass,11.154299396641155,missing_rate=0.0152 unique_values=1714 near_constant=False
feature_quality,player_top8_reb_last10_diff,pass,5.250652639064784,missing_rate=0.0152 unique_values=1286 near_constant=False
feature_quality,player_top8_value_last10_diff,pass,21.590839283821328,missing_rate=0.0152 unique_values=4649 near_constant=False
high_correlation,away_expected_top8_rotation__away_player_top8_games_played_share_last10,warn,1.0000000000000002,absolute correlation >= 0.95
high_correlation,away_expected_top5_minutes_total__away_player_top5_minutes_last10,warn,1.0,absolute correlation >= 0.95
