threshold_used,paper_trades,wins,losses,win_rate,average_edge,profit_loss,roi,open_trades,closed_trades
0.03,1052,331,721,0.314638783269962,0.13481229407128553,-34.81609410795503,-0.03309514649045155,0,1052
0.05,918,278,640,0.3028322440087146,0.14862080929247362,-26.921969957356396,-0.029326764659429624,0,918
0.07,816,235,581,0.28799019607843135,0.15962167101409785,-30.792905674951157,-0.03773640401342054,0,816
0.1,647,176,471,0.27202472952086554,0.1792466743348915,-37.73288384235489,-0.05831975864351605,0,647
