accuracy,brier_score,log_loss,roc_auc,calibration_error,model_name,feature_count,model_kind,avg_predicted_probability,min_predicted_probability,max_predicted_probability,"bucket_(0.5, 0.6]",fold,train_seasons,validation_season,training_games,validation_games,calibration_method,optional_fold,"bucket_(-0.001, 0.1]","bucket_(0.1, 0.2]","bucket_(0.2, 0.3]","bucket_(0.3, 0.4]","bucket_(0.4, 0.5]","bucket_(0.6, 0.7]","bucket_(0.7, 0.8]","bucket_(0.8, 0.9]","bucket_(0.9, 1.0]"
0.5439024390243903,0.2484751050087715,0.6901032049334415,0.5,0.020063129393537937,home_team_baseline,0,constant_home_rate,0.5639655684179282,0.5639655684179282,0.5639655684179282,1230,3,"2018-19, 2019-20, 2020-21",2021-22,3369,1230,uncalibrated,False,,,,,,,,,
0.6772357723577236,0.20880478188449986,0.6047117495950075,0.7293070509899842,0.02532177577411062,sportsbook_benchmark,0,benchmark_only,0.5658012295657895,0.07975460122699386,0.9360374414976599,196,3,"2018-19, 2019-20, 2020-21",2021-22,3369,1230,uncalibrated,False,1.0,46.0,92.0,148.0,175.0,224.0,182.0,146.0,20.0
0.6284552845528455,0.23009312434380338,0.6539658748317975,0.6611538758729474,0.035952109411895444,elo_only,3,logistic_l2,0.5668984570049007,0.15583974428132338,0.9251292717955323,224,3,"2018-19, 2019-20, 2020-21",2021-22,3369,1230,uncalibrated,False,,9.0,82.0,141.0,218.0,240.0,214.0,96.0,6.0
0.6065040650406504,0.23830274128698564,0.6709685697632788,0.6323536072942563,0.050482527250349095,team_only_logistic,12,logistic_l2,0.5164687289983582,0.1115327027089452,0.902035124615645,258,3,"2018-19, 2019-20, 2020-21",2021-22,3369,1230,uncalibrated,False,,13.0,112.0,191.0,255.0,220.0,140.0,39.0,2.0
0.6016260162601627,0.23690472936311732,0.6682973349850163,0.6371176816969484,0.05129341123684903,team_plus_selected_player_logistic,24,logistic_l2,0.5249216171607303,0.11415472841224263,0.915574340762383,233,3,"2018-19, 2019-20, 2020-21",2021-22,3369,1230,uncalibrated,False,,23.0,115.0,182.0,231.0,232.0,160.0,49.0,5.0
0.6227642276422765,0.230799353553185,0.6539372075788669,0.6539518103749177,0.024503136466632002,team_plus_selected_player_random_forest,24,random_forest,0.5684055754910222,0.2739165381633382,0.8131939300066048,264,3,"2018-19, 2019-20, 2020-21",2021-22,3369,1230,uncalibrated,False,,,12.0,153.0,250.0,304.0,228.0,19.0,
0.6235772357723577,0.23092649901911308,0.6542862958605276,0.6539931096776257,0.02637779294984295,team_plus_selected_player_gradient_boosting,24,gradient_boosting,0.5692743449182762,0.25125393147908726,0.8597218839925478,234,3,"2018-19, 2019-20, 2020-21",2021-22,3369,1230,uncalibrated,False,,,12.0,174.0,250.0,306.0,200.0,54.0,
0.6284552845528455,0.23228694299180389,0.6580435795727736,0.6522518777860377,0.03984929990719972,team_plus_selected_player_xgboost,24,xgboost,0.5616621724110309,0.2083989977836609,0.9052882194519043,240,3,"2018-19, 2019-20, 2020-21",2021-22,3369,1230,uncalibrated,False,,,73.0,160.0,227.0,240.0,195.0,94.0,1.0
0.6009036144578314,0.2416080821412601,0.67630175649122,0.5,0.04230391887183438,home_team_baseline,0,constant_home_rate,0.558599695585997,0.558599695585997,0.558599695585997,664,4,"2018-19, 2019-20, 2020-21, 2021-22",2022-23,4599,664,uncalibrated,True,,,,,,,,,
0.6385542168674698,0.2234228323296228,0.6389800873187346,0.6677637489951294,0.060669454845012356,sportsbook_benchmark,0,benchmark_only,0.567249490089525,0.10638297872340424,0.8990536277602524,109,4,"2018-19, 2019-20, 2020-21, 2021-22",2022-23,4599,664,uncalibrated,True,,6.0,36.0,89.0,111.0,144.0,107.0,62.0,
