group_type,group,games,model_log_loss,sportsbook_log_loss,model_brier,sportsbook_brier,model_minus_sportsbook_log_loss,roi_if_betting_model_edges
team_level_errors,ATL,82,0.6644770950377795,0.6381170573819918,0.23525520464420932,0.22404816942274733,0.02636003765578776,0.079719400601966
team_level_errors,BKN,82,0.6687279229023152,0.6055622065780868,0.23815510803472878,0.20993478593889922,0.0631657163242284,-0.0012179025069155335
team_level_errors,BOS,82,0.6356365836062612,0.5650226679532229,0.22181393913816883,0.1903885316504203,0.07061391565303832,-0.19475810886548847
team_level_errors,CHA,82,0.7279300529432,0.6581526415146466,0.2656897459218006,0.23295715825235527,0.06977741142855343,-0.07553070977728511
team_level_errors,CHI,82,0.6208404248979036,0.5586648774718548,0.2153379386312069,0.1865289898637488,0.062175547426048805,-0.17647702296880047
team_level_errors,CLE,82,0.6827554285471503,0.6143826608742529,0.24455316842952704,0.2125315128990296,0.06837276767289746,-0.10027822514671196
team_level_errors,DAL,82,0.6366668051128608,0.6078798162700932,0.22306754187614575,0.21008102294880246,0.028786988842767536,0.04035560569454633
team_level_errors,DEN,82,0.7102842322217626,0.6387624913051788,0.2572038750772343,0.22260370536936322,0.07152174091658381,-0.0945105429488238
team_level_errors,DET,82,0.6170227827844337,0.5898153539913346,0.21347404943320158,0.20056471508092344,0.02720742879309912,0.1941025580344466
team_level_errors,GSW,82,0.650800282040102,0.6102107420288003,0.2301920802743197,0.21232985334955123,0.04058954001130166,0.1578954982215852
team_level_errors,HOU,82,0.5697029794826463,0.47449891632192087,0.1913320392066446,0.1506766640780889,0.09520406316072538,-0.3312501365493435
team_level_errors,IND,82,0.6088285070179141,0.610816443425324,0.21000188573967168,0.21161588646015048,-0.001987936407409907,0.09881432913123256
team_level_errors,LAC,82,0.705736844963653,0.6318045151842954,0.25531418581363347,0.2206459532515271,0.0739323297793576,-0.19276059392338463
team_level_errors,LAL,82,0.6469374281285565,0.6141167466839433,0.22720569724060624,0.21322971587240588,0.03282068144461314,-0.07897047988431669
team_level_errors,MEM,82,0.6457003085844205,0.6348988873592677,0.22552706469668163,0.22225652737786986,0.010801421225152819,0.11843458275925559
team_level_errors,MIA,82,0.6421221501610135,0.6515012284110427,0.22592132536312018,0.2323701480968805,-0.00937907825002926,0.1148737768795331
team_level_errors,MIL,82,0.6695092891185904,0.5847011367178948,0.2376265081737564,0.1990167824263246,0.08480815240069561,-0.04352720770423578
team_level_errors,MIN,82,0.6352748316327728,0.5968416138268489,0.22278091445011075,0.2053812869955083,0.0384332178059239,-0.18043510892347384
team_level_errors,NOP,82,0.6400325138484314,0.597777287488706,0.22425865378530443,0.20524085755903534,0.04225522635972545,-0.05151686145285772
team_level_errors,NYK,82,0.6989246479742042,0.6610802632008951,0.25151498190066035,0.2308447794710223,0.03784438477330909,0.03477211683733426
team_level_errors,OKC,82,0.6252665570299425,0.5393612358613089,0.21638236284295354,0.18017829518099418,0.08590532116863359,-0.09097989057882105
team_level_errors,ORL,82,0.6255779573367818,0.5492387213894558,0.21670967337898508,0.18444287264008644,0.07633923594732595,-0.16595530247675677
team_level_errors,PHI,82,0.6738124629622957,0.6208530523788942,0.2399485020147776,0.2169613093873749,0.05295941058340148,-0.015199522963309361
team_level_errors,PHX,82,0.5760264678334558,0.5296748693301909,0.19558625662462312,0.17503643294794452,0.04635159850326487,-0.23934312400225732
team_level_errors,POR,82,0.622468900145522,0.5963820662492834,0.2156768311058015,0.20739911771157182,0.02608683389623867,0.09359727525926682
team_level_errors,SAC,82,0.6645498049234515,0.6106576846080053,0.2369407637541821,0.21240680893947017,0.05389212031544621,-0.09967148164611933
team_level_errors,SAS,82,0.7027639619015741,0.6360306318424775,0.2541237525487563,0.22314808940428157,0.06673333005909654,0.018204512574260485
team_level_errors,TOR,82,0.7488760269033351,0.6828534550178066,0.27511881841464086,0.24492452360069514,0.06602257188552851,-0.10617766550889343
team_level_errors,UTA,82,0.6395174552039801,0.5873326458346937,0.22362828712773092,0.20032669487847063,0.05218480936928638,0.11982459579862177
team_level_errors,WAS,82,0.6613455221196989,0.6443605713485074,0.23363945095236585,0.22607226547945197,0.016984950771191443,0.12580188835563383
