model_name,importance_type,feature,importance,signed_value
team_features_plus_selected_player_features_random_forest,tree_importance,home_team_abbr_SAS,0.00041974020302521783,0.00041974020302521783
team_features_plus_selected_player_features_random_forest,tree_importance,home_team_abbr_TOR,1.647838810023208e-05,1.647838810023208e-05
team_features_plus_selected_player_features_random_forest,tree_importance,home_team_abbr_UTA,0.0009794412938239267,0.0009794412938239267
team_features_plus_selected_player_features_random_forest,tree_importance,home_team_abbr_WAS,0.0003115214866343308,0.0003115214866343308
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_ATL,0.00018254722863515177,0.00018254722863515177
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_BKN,5.000382358344437e-06,5.000382358344437e-06
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_BOS,0.00015527742630100103,0.00015527742630100103
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_CHA,0.00011526418131738855,0.00011526418131738855
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_CHI,0.00021893404975658105,0.00021893404975658105
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_CLE,0.0035070111299349005,0.0035070111299349005
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_DAL,0.00012826416843216595,0.00012826416843216595
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_DEN,2.5392842843210132e-05,2.5392842843210132e-05
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_DET,0.00046496959060522296,0.00046496959060522296
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_GSW,8.30921090577312e-05,8.30921090577312e-05
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_HOU,0.0,0.0
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_IND,0.0003045602791672207,0.0003045602791672207
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_LAC,0.0007100507089884067,0.0007100507089884067
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_LAL,0.00031582498924007053,0.00031582498924007053
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_MEM,3.050668048992496e-05,3.050668048992496e-05
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_MIA,3.154360009620674e-05,3.154360009620674e-05
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_MIL,0.0013729687934733626,0.0013729687934733626
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_MIN,0.0006389211241424684,0.0006389211241424684
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_NOP,7.256715617130286e-05,7.256715617130286e-05
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_NYK,0.00037568761171660704,0.00037568761171660704
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_OKC,0.00010162455045522734,0.00010162455045522734
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_ORL,0.0001809847547984955,0.0001809847547984955
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_PHI,0.00019804471649623732,0.00019804471649623732
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_PHX,5.972847475268795e-05,5.972847475268795e-05
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_POR,0.00011589269395758345,0.00011589269395758345
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_SAC,0.0002472286278754801,0.0002472286278754801
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_SAS,2.1648407923373628e-05,2.1648407923373628e-05
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_TOR,0.0007659776463007445,0.0007659776463007445
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_UTA,1.0484326923780732e-05,1.0484326923780732e-05
team_features_plus_selected_player_features_random_forest,tree_importance,away_team_abbr_WAS,0.001011130983374678,0.001011130983374678
team_features_plus_selected_player_features_random_forest,permutation_log_loss_increase,home_recent_win_pct,-0.00048513301491570626,-0.00048513301491570626
team_features_plus_selected_player_features_random_forest,permutation_log_loss_increase,away_recent_win_pct,0.00045931301831969584,0.00045931301831969584
team_features_plus_selected_player_features_random_forest,permutation_log_loss_increase,recent_win_pct_diff,0.0008044433406817486,0.0008044433406817486
