group_type,group,games,model_log_loss,sportsbook_log_loss,model_brier,sportsbook_brier,model_minus_sportsbook_log_loss,roi_if_betting_model_edges
sportsbook_probability_bucket,"(-0.001, 0.1]",1,0.37938043084533263,0.08311490671050657,0.09967580972591045,0.006360796416876809,0.29626552413482604,-1.0
sportsbook_probability_bucket,"(0.1, 0.2]",46,0.5500686128639878,0.3590248875232319,0.180347697314432,0.1009802805985509,0.19104372534075587,-0.30978260869565216
sportsbook_probability_bucket,"(0.2, 0.3]",92,0.6637144509487503,0.5536778533402879,0.23515371706506363,0.18337332052083188,0.1100365976084624,-0.08913043478260872
sportsbook_probability_bucket,"(0.3, 0.4]",148,0.6931767524660869,0.6206561122512155,0.24966666930795775,0.21452910789943802,0.07252064021487137,-0.21732504636203512
sportsbook_probability_bucket,"(0.4, 0.5]",175,0.6958702008464679,0.6859395461002343,0.2510764352300029,0.2463938980411217,0.009930654746233558,0.045590154007608075
sportsbook_probability_bucket,"(0.5, 0.6]",196,0.7077470508710987,0.6933744929233734,0.2563420027424421,0.25008320251483357,0.014372557947725295,0.05385510504495216
sportsbook_probability_bucket,"(0.6, 0.7]",224,0.69285744814881,0.6427189801319333,0.24900404775426452,0.22516515270723772,0.050138468016876714,-0.15530328736396928
sportsbook_probability_bucket,"(0.7, 0.8]",182,0.6402135897542014,0.6181477839566518,0.22329218577703625,0.21341155025837438,0.022065805797549576,0.11526823561372983
sportsbook_probability_bucket,"(0.8, 0.9]",146,0.5095124383431499,0.4483199005869918,0.16335416484627513,0.13931042287603101,0.06119253775615807,0.0603448275862069
sportsbook_probability_bucket,"(0.9, 1.0]",20,0.42024375047932405,0.3267125126353477,0.12277623389814844,0.09026583067508244,0.09353123784397638,0.1
model_probability_bucket,"(0.2, 0.3]",12,0.48290737123357125,0.41860425945251317,0.15049783695557428,0.1269840252490861,0.06430311178105808,-0.4601873040088143
model_probability_bucket,"(0.3, 0.4]",153,0.6333051482923178,0.603502209548125,0.22061560927507512,0.20866114981491712,0.02980293874419282,0.044840424534188725
model_probability_bucket,"(0.4, 0.5]",250,0.6841003506723076,0.6181382891945291,0.24547707740120656,0.21390142897801956,0.0659620614777785,-0.16114243484571478
model_probability_bucket,"(0.5, 0.6]",264,0.6882613686904979,0.633055849172075,0.2475730583394975,0.2216065591461663,0.055205519518422896,-0.05548753459115458
model_probability_bucket,"(0.6, 0.7]",304,0.6588865221282019,0.6200457116548976,0.2327856140170207,0.215740315528219,0.03884081047330423,0.05674954267654154
model_probability_bucket,"(0.7, 0.8]",228,0.6026557378703716,0.5539814212438413,0.20637039073453797,0.18638256683547913,0.04867431662653032,-0.01822036046150295
model_probability_bucket,"(0.8, 0.9]",19,0.5904783797206538,0.5249150505695375,0.19869526880453847,0.17479723553172746,0.06556332915111629,0.012919896640826871
favorites_vs_underdogs,home_favorite,786,0.6420237019666003,0.6066653356630174,0.22511165322748014,0.2098458554704261,0.03535836630358291,0.019786989940560624
favorites_vs_underdogs,home_underdog,444,0.6750273323789607,0.6012533742583954,0.24086812034598684,0.2069618002661709,0.07377395812056531,-0.12358952881616236
home_favorites_vs_home_underdogs,home_favorite,786,0.6420237019666003,0.6066653356630174,0.22511165322748014,0.2098458554704261,0.03535836630358291,0.019786989940560624
home_favorites_vs_home_underdogs,home_underdog,444,0.6750273323789607,0.6012533742583954,0.24086812034598684,0.2069618002661709,0.07377395812056531,-0.12358952881616236
spread_group,close_spread,644,0.7046562839631136,0.6711741072273116,0.25484462579232814,0.23913061312658127,0.033482176735802005,-0.06413430878444555
spread_group,large_spread,586,0.5981981543511282,0.5316712063950009,0.20437417382279555,0.17547741785736598,0.06652694795612735,-0.0027253777648668653
rest_advantage_games,away_rest_advantage,259,0.6738633765238885,0.5788420274652433,0.23967026794195995,0.1971800680212625,0.09502134905864523,-0.26863120788292544
rest_advantage_games,home_rest_advantage,349,0.6625229524501033,0.635224080438855,0.23497612404344215,0.22222405801287154,0.027298872011248254,0.07281205150641502
rest_advantage_games,no_rest_advantage,622,0.6408225729859054,0.59836360581222,0.22476195849242536,0.20611583256259752,0.04245896717368536,0.006514758132246289
back_to_back_games,away_back_to_back,201,0.6613274614686004,0.6512997193967444,0.23520438958052256,0.2301849164588252,0.010027742071856083,0.1600463469862392
back_to_back_games,home_back_to_back,176,0.7049436051116668,0.5898235856924136,0.25383776753963666,0.20198932375200382,0.1151200194192532,-0.267332338558561
back_to_back_games,no_back_to_back,853,0.6416715956238738,0.5968056943977127,0.22500782588248114,0.20517302758424183,0.044865901226161076,-0.029421430861725672
