probability_bucket,games,avg_model_prob,avg_sportsbook_prob,realized_home_win_rate,model_calibration_error,sportsbook_calibration_error
"(0.2, 0.3]",12,0.28752295426772007,0.3014591325940191,0.16666666666666666,0.12085628760105341,0.13479246592735242
"(0.3, 0.4]",153,0.353798959140813,0.3114213114951512,0.32679738562091504,0.02700157351989796,-0.015376074125763861
"(0.4, 0.5]",250,0.45242589006616424,0.451524438230787,0.428,0.024425890066164246,0.02352443823078698
"(0.5, 0.6]",264,0.5512653232678096,0.5518175404030791,0.5265151515151515,0.024750171752658146,0.025302388887927574
"(0.6, 0.7]",304,0.652002372004724,0.653255878258587,0.6447368421052632,0.007265529899460832,0.008519036153323833
"(0.7, 0.8]",228,0.7428795445975301,0.7517064012622092,0.706140350877193,0.03673919372033718,0.045566050385016266
"(0.8, 0.9]",19,0.8069245545939252,0.8489871270279463,0.7368421052631579,0.07008244933076735,0.11214502176478847
